transaction_id,date,time,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,sales_assistant,discount_applied
TXN_20251009_114950_000,2025-10-09,11:49:50,CUST_9954,GAME_002,Xbox Series X,Gaming,1,499.99,499.99,Cash,Bob Smith,0
TXN_20251009_113242_001,2025-10-09,11:32:42,CUST_1300,ELEC_001,iPhone 15 Pro,Electronics,1,1199.99,1079.991,Cash,David Wilson,10
TXN_20251009_091414_002,2025-10-09,09:14:14,CUST_7641,ACC_004,Phone Case iPhone 15,Accessories,3,24.99,74.97,Digital,Alice Johnson,0
TXN_20251009_144548_003,2025-10-09,14:45:48,CUST_6249,COMP_001,MacBook Air M3,Computers,1,1399.99,1189.9915,Card,Alice Johnson,15
TXN_20251009_150149_004,2025-10-09,15:01:49,CUST_6790,SMART_002,Google Nest Hub,Smart_Home,1,129.99,129.99,Digital,Carol Brown,0
TXN_20251009_170849_005,2025-10-09,17:08:49,CUST_7842,ACC_004,Phone Case iPhone 15,Accessories,3,24.99,74.97,Cash,Bob Smith,0
TXN_20251009_121336_006,2025-10-09,12:13:36,CUST_7233,ELEC_003,iPad Air,Electronics,1,799.99,799.99,Digital,Alice Johnson,0
TXN_20251010_150758_000,2025-10-10,15:07:58,CUST_1646,ELEC_004,AirPods Pro 2,Electronics,2,279.99,559.98,Digital,Carol Brown,0
TXN_20251010_174647_001,2025-10-10,17:46:47,CUST_7387,ACC_003,Wireless Charger,Accessories,2,39.99,75.98100000000001,Cash,Carol Brown,5
TXN_20251010_182641_002,2025-10-10,18:26:41,CUST_3785,ACC_002,USB-C Hub,Accessories,1,49.99,47.490500000000004,Cash,David Wilson,5
TXN_20251010_131556_003,2025-10-10,13:15:56,CUST_6201,ACC_004,Phone Case iPhone 15,Accessories,2,24.99,49.98,Card,Carol Brown,0
TXN_20251010_171931_004,2025-10-10,17:19:31,CUST_5256,GAME_002,Xbox Series X,Gaming,1,499.99,474.9905,Cash,Bob Smith,5
TXN_20251010_181249_005,2025-10-10,18:12:49,CUST_6051,ELEC_001,iPhone 15 Pro,Electronics,2,1199.99,2399.98,Cash,Bob Smith,0
TXN_20251010_184230_006,2025-10-10,18:42:30,CUST_4442,ACC_005,Screen Protector,Accessories,2,19.99,39.98,Cash,Bob Smith,0
TXN_20251010_115239_007,2025-10-10,11:52:39,CUST_1200,ELEC_004,AirPods Pro 2,Electronics,1,279.99,237.9915,Cash,Bob Smith,15
TXN_20251010_121203_008,2025-10-10,12:12:03,CUST_9558,SMART_001,Echo Dot (5th Gen),Smart_Home,3,59.99,179.97,Card,Alice Johnson,0
TXN_20251010_124209_009,2025-10-10,12:42:09,CUST_8047,ACC_004,Phone Case iPhone 15,Accessories,2,24.99,49.98,Card,David Wilson,0
TXN_20251011_175053_000,2025-10-11,17:50:53,CUST_4788,SMART_001,Echo Dot (5th Gen),Smart_Home,3,59.99,179.97,Card,David Wilson,0
TXN_20251011_160453_001,2025-10-11,16:04:53,CUST_6637,SMART_001,Echo Dot (5th Gen),Smart_Home,2,59.99,119.98,Digital,Alice Johnson,0
TXN_20251011_182629_002,2025-10-11,18:26:29,CUST_9896,SMART_001,Echo Dot (5th Gen),Smart_Home,1,59.99,59.99,Digital,Eva Davis,0
TXN_20251011_090441_003,2025-10-11,09:04:41,CUST_4584,ACC_003,Wireless Charger,Accessories,1,39.99,37.990500000000004,Cash,Eva Davis,5
TXN_20251011_091813_004,2025-10-11,09:18:13,CUST_5126,ACC_004,Phone Case iPhone 15,Accessories,1,24.99,24.99,Cash,Carol Brown,0
TXN_20251011_130205_005,2025-10-11,13:02:05,CUST_1859,ACC_004,Phone Case iPhone 15,Accessories,1,24.99,24.99,Card,Bob Smith,0
TXN_20251011_175833_006,2025-10-11,17:58:33,CUST_3805,ELEC_002,Samsung Galaxy S24,Electronics,3,1099.99,3299.9700000000003,Digital,Eva Davis,0
TXN_20251011_181758_007,2025-10-11,18:17:58,CUST_3025,ELEC_003,iPad Air,Electronics,1,799.99,799.99,Cash,Alice Johnson,0
TXN_20251011_124850_008,2025-10-11,12:48:50,CUST_4842,SMART_003,Philips Hue Bulbs (4-pack),Smart_Home,3,89.99,269.96999999999997,Digital,David Wilson,0
TXN_20251011_102618_009,2025-10-11,10:26:18,CUST_4941,ACC_005,Screen Protector,Accessories,1,19.99,19.99,Cash,Bob Smith,0
TXN_20251011_142837_010,2025-10-11,14:28:37,CUST_5391,ELEC_005,Sony WH-1000XM5,Electronics,1,399.99,399.99,Digital,Bob Smith,0
TXN_20251011_180342_011,2025-10-11,18:03:42,CUST_7354,ELEC_003,iPad Air,Electronics,3,799.99,2039.9745000000003,Cash,Alice Johnson,15
TXN_20251012_103404_000,2025-10-12,10:34:04,CUST_3005,ACC_003,Wireless Charger,Accessories,1,39.99,39.99,Cash,Carol Brown,0
TXN_20251012_120848_001,2025-10-12,12:08:48,CUST_4802,SMART_003,Philips Hue Bulbs (4-pack),Smart_Home,1,89.99,76.4915,Digital,Eva Davis,15
TXN_20251012_164539_002,2025-10-12,16:45:39,CUST_3156,ACC_004,Phone Case iPhone 15,Accessories,2,24.99,49.98,Digital,David Wilson,0
TXN_20251012_091140_003,2025-10-12,09:11:40,CUST_7879,ACC_002,USB-C Hub,Accessories,2,49.99,99.98,Card,David Wilson,0
TXN_20251012_110515_004,2025-10-12,11:05:15,CUST_2689,ELEC_004,AirPods Pro 2,Electronics,3,279.99,797.9715,Cash,Carol Brown,5
TXN_20251012_174101_005,2025-10-12,17:41:01,CUST_4417,ACC_001,Magic Mouse,Accessories,3,99.99,299.96999999999997,Card,Carol Brown,0
TXN_20251012_151015_006,2025-10-12,15:10:15,CUST_6231,ELEC_005,Sony WH-1000XM5,Electronics,2,399.99,799.98,Digital,Carol Brown,0
TXN_20251012_111326_007,2025-10-12,11:13:26,CUST_1774,ACC_001,Magic Mouse,Accessories,2,99.99,179.982,Digital,David Wilson,10
TXN_20251012_180639_008,2025-10-12,18:06:39,CUST_3476,ACC_005,Screen Protector,Accessories,2,19.99,39.98,Card,Alice Johnson,0
TXN_20251012_090228_009,2025-10-12,09:02:28,CUST_9538,SMART_002,Google Nest Hub,Smart_Home,2,129.99,259.98,Cash,David Wilson,0
TXN_20251012_110104_010,2025-10-12,11:01:04,CUST_8868,ACC_005,Screen Protector,Accessories,1,19.99,19.99,Card,David Wilson,0
TXN_20251012_095751_011,2025-10-12,09:57:51,CUST_6507,SMART_001,Echo Dot (5th Gen),Smart_Home,3,59.99,179.97,Card,Alice Johnson,0
TXN_20251012_175041_012,2025-10-12,17:50:41,CUST_1081,ACC_004,Phone Case iPhone 15,Accessories,1,24.99,24.99,Cash,Eva Davis,0
TXN_20251013_184106_000,2025-10-13,18:41:06,CUST_4567,SMART_002,Google Nest Hub,Smart_Home,2,129.99,259.98,Cash,Carol Brown,0
TXN_20251013_141041_001,2025-10-13,14:10:41,CUST_9146,SMART_001,Echo Dot (5th Gen),Smart_Home,1,59.99,59.99,Card,Bob Smith,0
TXN_20251013_184632_002,2025-10-13,18:46:32,CUST_5417,ACC_005,Screen Protector,Accessories,2,19.99,33.983,Digital,Bob Smith,15
TXN_20251013_181259_003,2025-10-13,18:12:59,CUST_9364,ACC_005,Screen Protector,Accessories,2,19.99,33.983,Digital,David Wilson,15
TXN_20251014_125824_000,2025-10-14,12:58:24,CUST_4146,ACC_001,Magic Mouse,Accessories,3,99.99,299.96999999999997,Cash,Carol Brown,0
TXN_20251014_104150_001,2025-10-14,10:41:50,CUST_7235,ACC_003,Wireless Charger,Accessories,1,39.99,39.99,Digital,Alice Johnson,0
