transaction_id,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,subtotal,discount_amount,total_amount,payment_method,transaction_date,transaction_timestamp,cashier,payment_received,change_due
TXN_001,CUST_1025,Customer 37,PROD_0004,kortax pads,Other,5,3.5,17.5,0.5889984875144179,16.911001512485583,Cash,2025-10-31,2025-10-31 15:43:45.872546,Sales Assistant 1,20.0,3.0889984875144165
TXN_002,CUST_1052,Customer 3,PROD_0027,chief,Other,2,1.0,2.0,0.0958684148700829,1.9041315851299168,Cash,2025-10-31,2025-10-31 15:43:45.877360,Sales Assistant 3,5.0,3.0958684148700835
TXN_003,CUST_1055,Customer 30,PROD_0023,curtlegh,Other,3,3.0,9.0,0.368985315587692,8.631014684412309,Mobile Payment,2025-10-31,2025-10-31 15:43:45.876424,Sales Assistant 2,,
TXN_004,CUST_1028,Customer 35,PROD_0025,styvesant,Other,1,3.0,3.0,0.2368651562852161,2.763134843714784,Mobile Payment,2025-10-31,2025-10-31 15:43:45.877005,Sales Assistant 2,,
TXN_005,CUST_1060,Customer 37,PROD_0002,smoothies,Other,5,0.5,2.5,0.2483606906826281,2.251639309317372,Mobile Payment,2025-10-31,2025-10-31 15:43:45.872000,Sales Assistant 2,,
TXN_006,CUST_1049,Customer 48,PROD_0018,drink opop,Food,4,1.5,6.0,0.0702836677018723,5.929716332298128,Mobile Payment,2025-10-31,2025-10-31 15:43:45.875571,Sales Assistant 1,,
TXN_007,CUST_1035,Customer 16,PROD_0020,stimirol,Food,3,1.0,3.0,0.022218922499394,2.977781077500606,Cash,2025-11-01,2025-11-01 15:43:45.875882,Sales Assistant 3,5,2.022218922499394
TXN_008,CUST_1100,Customer 8,PROD_0014,toilet paper (twin),Other,5,7.0,35.0,1.9745887800367616,33.02541121996324,Cash,2025-11-01,2025-11-01 15:43:45.874596,Sales Assistant 2,50,16.97458878003676
TXN_009,CUST_1058,Customer 9,PROD_0024,camel,Other,5,3.0,15.0,0.1316073775333927,14.868392622466608,Cash,2025-11-01,2025-11-01 15:43:45.876614,Sales Assistant 3,20,5.131607377533392
TXN_010,CUST_1054,Customer 1,PROD_0010,sugar,Food,5,13.0,65.0,2.6600460628678726,62.33995393713213,Mobile Payment,2025-11-01,2025-11-01 15:43:45.873819,Sales Assistant 2,,
TXN_011,CUST_1079,Customer 43,PROD_0008,Tasty Beans,Food,1,25.0,25.0,1.5281087619331768,23.471891238066824,Mobile Payment,2025-11-01,2025-11-01 15:43:45.873424,Sales Assistant 1,,
TXN_012,CUST_1052,Customer 19,PROD_0002,smoothies,Other,2,0.5,1.0,0.0183584178314702,0.9816415821685298,Cash,2025-11-01,2025-11-01 15:43:45.872053,Sales Assistant 1,5,4.01835841783147
TXN_013,CUST_1038,Customer 34,PROD_0002,smoothies,Other,2,0.5,1.0,0.0624602234142905,0.9375397765857094,Mobile Payment,2025-11-01,2025-11-01 15:43:45.871962,Sales Assistant 2,,
TXN_014,CUST_1067,Customer 50,PROD_0026,boss,Other,5,1.0,5.0,0.0585014443358329,4.941498555664167,Cash,2025-11-01,2025-11-01 15:43:45.877117,Sales Assistant 3,5,0.05850144433583271
TXN_015,CUST_1027,Customer 45,PROD_0026,boss,Other,1,1.0,1.0,0.044286416132797,0.955713583867203,Mobile Payment,2025-11-01,2025-11-01 15:43:45.877158,Sales Assistant 1,,
TXN_016,CUST_1100,Customer 16,PROD_0027,chief,Other,5,1.0,5.0,0.1137680562117359,4.886231943788264,Mobile Payment,2025-11-01,2025-11-01 15:43:45.877318,Sales Assistant 3,,
TXN_017,CUST_1037,Customer 16,PROD_0008,Tasty Beans,Food,2,25.0,50.0,2.669183195204762,47.33081680479524,Cash,2025-11-01,2025-11-01 15:43:45.873465,Sales Assistant 2,50,2.6691831952047593
TXN_018,CUST_1001,Customer 18,PROD_0007,imana soup,Food,2,10.0,20.0,1.9965100977513384,18.00348990224866,Mobile Payment,2025-11-02,2025-11-02 15:43:45.873307,Sales Assistant 1,,
TXN_019,CUST_1005,Customer 50,PROD_0009,Peas,Food,5,17.0,85.0,3.592797094042132,81.40720290595787,Mobile Payment,2025-11-02,2025-11-02 15:43:45.873582,Sales Assistant 1,,
TXN_020,CUST_1094,Customer 19,PROD_0001,chepies,Other,2,0.5,1.0,0.0430990593190711,0.9569009406809288,Cash,2025-11-02,2025-11-02 15:43:45.871611,Sales Assistant 2,5,4.043099059319071
TXN_021,CUST_1044,Customer 42,PROD_0007,imana soup,Food,3,10.0,30.0,1.4506867468261642,28.549313253173835,Cash,2025-11-03,2025-11-03 15:43:45.873225,Sales Assistant 2,50,21.450686746826165
TXN_022,CUST_1097,Customer 14,PROD_0014,toilet paper (twin),Other,3,7.0,21.0,1.5986408593874817,19.40135914061252,Cash,2025-11-03,2025-11-03 15:43:45.874752,Sales Assistant 2,20,0.5986408593874799
TXN_023,CUST_1062,Customer 34,PROD_0015,pip pop,Food,1,1.5,1.5,0.1378909816488941,1.3621090183511058,Cash,2025-11-03,2025-11-03 15:43:45.874869,Sales Assistant 1,5,3.6378909816488942
TXN_024,CUST_1040,Customer 45,PROD_0009,Peas,Food,1,17.0,17.0,0.4137787283804037,16.586221271619596,Mobile Payment,2025-11-03,2025-11-03 15:43:45.873661,Sales Assistant 2,,
TXN_025,CUST_1067,Customer 29,PROD_0022,sunlight soap,Other,3,15.0,45.0,3.752675056232928,41.24732494376707,Cash,2025-11-03,2025-11-03 15:43:45.876188,Sales Assistant 1,50,8.752675056232931
TXN_026,CUST_1034,Customer 18,PROD_0003,colgate,Other,5,18.0,90.0,2.534496599269903,87.4655034007301,Mobile Payment,2025-11-03,2025-11-03 15:43:45.872303,Sales Assistant 2,,
TXN_027,CUST_1006,Customer 43,PROD_0003,colgate,Other,2,18.0,36.0,3.343283576478429,32.65671642352157,Mobile Payment,2025-11-03,2025-11-03 15:43:45.872265,Sales Assistant 2,,
TXN_028,CUST_1058,Customer 23,PROD_0018,drink opop,Food,1,1.5,1.5,0.014784946759949,1.485215053240051,Cash,2025-11-04,2025-11-04 15:43:45.875530,Sales Assistant 1,5,3.5147849467599492
TXN_029,CUST_1049,Customer 36,PROD_0020,stimirol,Food,2,1.0,2.0,0.0108314507054595,1.9891685492945403,Cash,2025-11-04,2025-11-04 15:43:45.875920,Sales Assistant 3,5,3.0108314507054597
TXN_030,CUST_1071,Customer 27,PROD_0011,spice,Food,3,2.5,7.5,0.7391294100809204,6.76087058991908,Cash,2025-11-04,2025-11-04 15:43:45.874056,Sales Assistant 3,10,3.2391294100809196
TXN_031,CUST_1063,Customer 29,PROD_0023,curtlegh,Other,1,3.0,3.0,0.1646046595252609,2.835395340474739,Cash,2025-11-04,2025-11-04 15:43:45.876500,Sales Assistant 2,5,2.164604659525261
TXN_032,CUST_1034,Customer 44,PROD_0024,camel,Other,1,3.0,3.0,0.1769608653433108,2.823039134656689,Cash,2025-11-04,2025-11-04 15:43:45.876733,Sales Assistant 2,5,2.176960865343311
TXN_033,CUST_1066,Customer 8,PROD_0025,styvesant,Other,4,3.0,12.0,0.9748323235884528,11.025167676411549,Mobile Payment,2025-11-04,2025-11-04 15:43:45.876929,Sales Assistant 3,,
TXN_034,CUST_1015,Customer 31,PROD_0017,glucose biscuts,Food,1,2.5,2.5,0.1779824517421331,2.322017548257867,Cash,2025-11-04,2025-11-04 15:43:45.875414,Sales Assistant 2,5,2.677982451742133
TXN_035,CUST_1049,Customer 13,PROD_0001,chepies,Other,4,0.5,2.0,0.1677481977003588,1.8322518022996408,Cash,2025-11-04,2025-11-04 15:43:45.871541,Sales Assistant 1,5,3.167748197700359
TXN_036,CUST_1036,Customer 30,PROD_0028,chief,Other,4,1.0,4.0,0.1881217775317297,3.81187822246827,Mobile Payment,2025-11-04,2025-11-04 15:43:45.877514,Sales Assistant 1,,
TXN_037,CUST_1071,Customer 25,PROD_0001,chepies,Other,3,0.5,1.5,0.1246190023930253,1.3753809976069746,Cash,2025-11-04,2025-11-04 15:43:45.871700,Sales Assistant 3,5,3.6246190023930254
TXN_038,CUST_1048,Customer 50,PROD_0003,colgate,Other,2,18.0,36.0,2.100644166468036,33.89935583353196,Mobile Payment,2025-11-04,2025-11-04 15:43:45.872183,Sales Assistant 3,,
TXN_039,CUST_1045,Customer 2,PROD_0003,colgate,Other,5,18.0,90.0,1.526584128973779,88.47341587102622,Mobile Payment,2025-11-04,2025-11-04 15:43:45.872226,Sales Assistant 2,,
TXN_040,CUST_1100,Customer 35,PROD_0006,jlite cooking oil,Food,5,20.0,100.0,8.04280680497102,91.95719319502898,Mobile Payment,2025-11-04,2025-11-04 15:43:45.872912,Sales Assistant 3,,
TXN_041,CUST_1013,Customer 2,PROD_0009,Peas,Food,4,17.0,68.0,0.3331655677374002,67.6668344322626,Cash,2025-11-05,2025-11-05 15:43:45.873700,Sales Assistant 2,70,2.333165567737396
TXN_042,CUST_1017,Customer 46,PROD_0025,styvesant,Other,1,3.0,3.0,0.0681336367194744,2.931866363280525,Mobile Payment,2025-11-05,2025-11-05 15:43:45.876888,Sales Assistant 2,,
TXN_043,CUST_1051,Customer 50,PROD_0024,camel,Other,1,3.0,3.0,0.1136813803134074,2.8863186196865924,Mobile Payment,2025-11-05,2025-11-05 15:43:45.876655,Sales Assistant 2,,
TXN_044,CUST_1045,Customer 6,PROD_0004,kortax pads,Other,1,3.5,3.5,0.0817513202145857,3.4182486797854144,Mobile Payment,2025-11-05,2025-11-05 15:43:45.872469,Sales Assistant 2,,
TXN_045,CUST_1033,Customer 34,PROD_0023,curtlegh,Other,2,3.0,6.0,0.1699144929424939,5.830085507057506,Cash,2025-11-05,2025-11-05 15:43:45.876462,Sales Assistant 2,10,4.169914492942494
TXN_046,CUST_1040,Customer 35,PROD_0004,kortax pads,Other,3,3.5,10.5,1.0277861499173002,9.4722138500827,Cash,2025-11-05,2025-11-05 15:43:45.872507,Sales Assistant 2,10,0.5277861499173007
TXN_047,CUST_1039,Customer 47,PROD_0022,sunlight soap,Other,5,15.0,75.0,0.9709648047565076,74.0290351952435,Mobile Payment,2025-11-05,2025-11-05 15:43:45.876229,Sales Assistant 1,,
TXN_048,CUST_1031,Customer 5,PROD_0019,my life,Food,1,12.0,12.0,0.4506616822598694,11.54933831774013,Mobile Payment,2025-11-05,2025-11-05 15:43:45.875725,Sales Assistant 2,,
TXN_049,CUST_1039,Customer 43,PROD_0016,pip pop,Food,3,1.5,4.5,0.0658299215744365,4.434170078425564,Cash,2025-11-05,2025-11-05 15:43:45.875142,Sales Assistant 3,5,0.5658299215744362
TXN_050,CUST_1020,Customer 10,PROD_0015,pip pop,Food,2,1.5,3.0,0.0078984559854857,2.9921015440145142,Mobile Payment,2025-11-05,2025-11-05 15:43:45.874910,Sales Assistant 1,,
TXN_051,CUST_1082,Customer 40,PROD_0013,mag,Other,1,12.0,12.0,1.0353152173015778,10.964684782698422,Cash,2025-11-05,2025-11-05 15:43:45.874481,Sales Assistant 2,20,9.035315217301578
TXN_052,CUST_1035,Customer 17,PROD_0012,beef stock,Food,4,1.0,4.0,0.2870406405688698,3.7129593594311294,Mobile Payment,2025-11-05,2025-11-05 15:43:45.874212,Sales Assistant 3,,
TXN_053,CUST_1097,Customer 21,PROD_0012,beef stock,Food,3,1.0,3.0,0.2953452552400041,2.704654744759996,Mobile Payment,2025-11-05,2025-11-05 15:43:45.874171,Sales Assistant 1,,
TXN_054,CUST_1007,Customer 26,PROD_0013,mag,Other,1,12.0,12.0,0.7388144236729253,11.261185576327074,Mobile Payment,2025-11-05,2025-11-05 15:43:45.874440,Sales Assistant 3,,
TXN_055,CUST_1026,Customer 37,PROD_0021,secure soap,Other,2,17.0,34.0,1.2415682350842556,32.75843176491574,Cash,2025-11-06,2025-11-06 15:43:45.876075,Sales Assistant 2,50,17.24156823508426
TXN_056,CUST_1021,Customer 43,PROD_0004,kortax pads,Other,4,3.5,14.0,1.0031528025961292,12.99684719740387,Cash,2025-11-06,2025-11-06 15:43:45.872428,Sales Assistant 3,20,7.00315280259613
TXN_057,CUST_1057,Customer 6,PROD_0007,imana soup,Food,1,10.0,10.0,0.0185003651112649,9.981499634888737,Cash,2025-11-06,2025-11-06 15:43:45.873187,Sales Assistant 3,10,0.018500365111263406
