transaction_id,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,subtotal,discount_amount,total_amount,payment_method,transaction_date,transaction_timestamp,cashier,payment_received,change_due
TXN_001,CUST_9322,Customer 761,PROD_006,Levi's Jeans,Clothing,5,79.99,399.95,59.99249999999999,339.9575,Cash,2025-11-02,2025-11-02 16:03:10,Sales Assistant 4,,
TXN_002,CUST_9666,Customer 158,PROD_010,Water Bottle,Sports,5,19.99,99.95,0.0,99.95,Debit Card,2025-10-10,2025-10-10 16:03:10,Sales Assistant 4,,
TXN_003,CUST_4152,Customer 661,PROD_010,Water Bottle,Sports,3,19.99,59.97,2.9985,56.9715,Mobile Payment,2025-10-14,2025-10-14 16:03:10,Sales Assistant 2,,
TXN_004,CUST_3062,Customer 912,PROD_007,Coffee Maker,Home,5,89.99,449.95,0.0,449.95,Cash,2025-10-19,2025-10-19 16:03:10,Sales Assistant 1,,
TXN_005,CUST_6056,Customer 838,PROD_010,Water Bottle,Sports,3,19.99,59.97,8.9955,50.9745,Cash,2025-11-02,2025-11-02 16:03:10,Sales Assistant 3,,
TXN_006,CUST_8035,Customer 560,PROD_010,Water Bottle,Sports,2,19.99,39.98,0.0,39.98,Debit Card,2025-11-08,2025-11-08 16:03:10,Sales Assistant 3,,
TXN_007,CUST_7585,Customer 663,PROD_006,Levi's Jeans,Clothing,1,79.99,79.99,0.0,79.99,Mobile Payment,2025-11-04,2025-11-04 16:03:10,Sales Assistant 2,,
TXN_008,CUST_6855,Customer 324,PROD_009,Yoga Mat,Sports,5,29.99,149.95,0.0,149.95,Cash,2025-11-06,2025-11-06 16:03:10,Sales Assistant 2,,
TXN_009,CUST_2986,Customer 610,PROD_010,Water Bottle,Sports,3,19.99,59.97,0.0,59.97,Debit Card,2025-10-24,2025-10-24 16:03:10,Sales Assistant 3,,
TXN_010,CUST_6534,Customer 397,PROD_006,Levi's Jeans,Clothing,2,79.99,159.98,0.0,159.98,Debit Card,2025-10-20,2025-10-20 16:03:10,Sales Assistant 4,,
TXN_011,CUST_4108,Customer 259,PROD_005,Adidas Sneakers,Clothing,5,129.99,649.95,0.0,649.95,Debit Card,2025-10-14,2025-10-14 16:03:10,Sales Assistant 1,,
TXN_012,CUST_5199,Customer 951,PROD_005,Adidas Sneakers,Clothing,4,129.99,519.96,0.0,519.96,Credit Card,2025-11-06,2025-11-06 16:03:10,Sales Assistant 2,,
TXN_013,CUST_9352,Customer 679,PROD_010,Water Bottle,Sports,5,19.99,99.95,0.0,99.95,Cash,2025-10-15,2025-10-15 16:03:10,Sales Assistant 4,,
TXN_014,CUST_8679,Customer 116,PROD_009,Yoga Mat,Sports,1,29.99,29.99,2.999,26.991,Mobile Payment,2025-10-19,2025-10-19 16:03:10,Sales Assistant 1,,
TXN_015,CUST_6442,Customer 971,PROD_010,Water Bottle,Sports,2,19.99,39.98,0.0,39.98,Credit Card,2025-10-11,2025-10-11 16:03:10,Sales Assistant 4,,
TXN_016,CUST_8560,Customer 910,PROD_010,Water Bottle,Sports,1,19.99,19.99,0.0,19.99,Credit Card,2025-10-25,2025-10-25 16:03:10,Sales Assistant 1,,
TXN_017,CUST_5780,Customer 119,PROD_006,Levi's Jeans,Clothing,4,79.99,319.96,0.0,319.96,Cash,2025-10-30,2025-10-30 16:03:10,Sales Assistant 2,,
TXN_018,CUST_4769,Customer 674,PROD_005,Adidas Sneakers,Clothing,3,129.99,389.97,0.0,389.97,Credit Card,2025-10-24,2025-10-24 16:03:10,Sales Assistant 2,,
TXN_019,CUST_6691,Customer 719,PROD_007,Coffee Maker,Home,5,89.99,449.95,0.0,449.95,Cash,2025-10-14,2025-10-14 16:03:10,Sales Assistant 2,,
TXN_020,CUST_8421,Customer 833,PROD_010,Water Bottle,Sports,5,19.99,99.95,0.0,99.95,Cash,2025-10-18,2025-10-18 16:03:10,Sales Assistant 2,,
TXN_021,CUST_6732,Customer 367,PROD_007,Coffee Maker,Home,3,89.99,269.97,13.4985,256.4715,Debit Card,2025-10-23,2025-10-23 16:03:10,Sales Assistant 4,,
TXN_022,CUST_1417,Customer 214,PROD_007,Coffee Maker,Home,2,89.99,179.98,0.0,179.98,Cash,2025-10-30,2025-10-30 16:03:10,Sales Assistant 2,,
TXN_023,CUST_3914,Customer 972,PROD_010,Water Bottle,Sports,5,19.99,99.95,9.995,89.95499999999998,Credit Card,2025-11-05,2025-11-05 16:03:10,Sales Assistant 2,,
TXN_024,CUST_7588,Customer 975,PROD_009,Yoga Mat,Sports,3,29.99,89.97,4.4985,85.47149999999999,Credit Card,2025-10-24,2025-10-24 16:03:10,Sales Assistant 2,,
TXN_025,CUST_1133,Customer 157,PROD_010,Water Bottle,Sports,5,19.99,99.95,14.992499999999998,84.9575,Mobile Payment,2025-11-08,2025-11-08 16:03:10,Sales Assistant 1,,
TXN_026,CUST_4775,Customer 601,PROD_006,Levi's Jeans,Clothing,4,79.99,319.96,0.0,319.96,Debit Card,2025-11-05,2025-11-05 16:03:10,Sales Assistant 1,,
TXN_027,CUST_1009,Customer 923,PROD_007,Coffee Maker,Home,1,89.99,89.99,8.999,80.991,Credit Card,2025-10-19,2025-10-19 16:03:10,Sales Assistant 1,,
TXN_028,CUST_8449,Customer 162,PROD_005,Adidas Sneakers,Clothing,3,129.99,389.97,58.4955,331.47450000000003,Cash,2025-11-04,2025-11-04 16:03:10,Sales Assistant 3,,
TXN_029,CUST_3000,Customer 808,PROD_006,Levi's Jeans,Clothing,4,79.99,319.96,15.998,303.962,Debit Card,2025-10-23,2025-10-23 16:03:10,Sales Assistant 3,,
TXN_030,CUST_6997,Customer 100,PROD_010,Water Bottle,Sports,1,19.99,19.99,0.0,19.99,Debit Card,2025-10-19,2025-10-19 16:03:10,Sales Assistant 4,,
TXN_031,CUST_5363,Customer 153,PROD_009,Yoga Mat,Sports,3,29.99,89.97,0.0,89.97,Mobile Payment,2025-10-10,2025-10-10 16:03:10,Sales Assistant 2,,
TXN_032,CUST_8730,Customer 180,PROD_005,Adidas Sneakers,Clothing,2,129.99,259.98,12.999000000000002,246.981,Cash,2025-10-25,2025-10-25 16:03:10,Sales Assistant 2,,
TXN_033,CUST_7376,Customer 623,PROD_010,Water Bottle,Sports,1,19.99,19.99,1.999,17.991,Credit Card,2025-10-21,2025-10-21 16:03:10,Sales Assistant 1,,
TXN_034,CUST_2296,Customer 330,PROD_007,Coffee Maker,Home,1,89.99,89.99,0.0,89.99,Credit Card,2025-10-25,2025-10-25 16:03:10,Sales Assistant 4,,
TXN_035,CUST_5206,Customer 569,PROD_005,Adidas Sneakers,Clothing,4,129.99,519.96,0.0,519.96,Credit Card,2025-10-15,2025-10-15 16:03:10,Sales Assistant 4,,
TXN_036,CUST_1876,Customer 840,PROD_010,Water Bottle,Sports,3,19.99,59.97,0.0,59.97,Cash,2025-10-23,2025-10-23 16:03:10,Sales Assistant 2,,
TXN_037,CUST_5289,Customer 946,PROD_007,Coffee Maker,Home,1,89.99,89.99,0.0,89.99,Debit Card,2025-11-03,2025-11-03 16:03:10,Sales Assistant 3,,
TXN_038,CUST_7283,Customer 658,PROD_010,Water Bottle,Sports,1,19.99,19.99,0.0,19.99,Cash,2025-10-27,2025-10-27 16:03:10,Sales Assistant 4,,
TXN_039,CUST_6951,Customer 448,PROD_006,Levi's Jeans,Clothing,4,79.99,319.96,15.998,303.962,Mobile Payment,2025-10-26,2025-10-26 16:03:10,Sales Assistant 1,,
TXN_040,CUST_6959,Customer 226,PROD_005,Adidas Sneakers,Clothing,5,129.99,649.95,32.4975,617.4525000000001,Credit Card,2025-10-14,2025-10-14 16:03:10,Sales Assistant 3,,
TXN_041,CUST_6732,Customer 504,PROD_004,Nike Air Max,Clothing,1,149.99,149.99,7.499500000000001,142.4905,Credit Card,2025-10-14,2025-10-14 16:03:10,Sales Assistant 2,,
TXN_042,CUST_7490,Customer 628,PROD_010,Water Bottle,Sports,2,19.99,39.98,0.0,39.98,Mobile Payment,2025-11-06,2025-11-06 16:03:10,Sales Assistant 4,,
TXN_043,CUST_5422,Customer 868,PROD_005,Adidas Sneakers,Clothing,1,129.99,129.99,0.0,129.99,Mobile Payment,2025-11-02,2025-11-02 16:03:10,Sales Assistant 3,,
TXN_044,CUST_3065,Customer 868,PROD_009,Yoga Mat,Sports,3,29.99,89.97,4.4985,85.47149999999999,Credit Card,2025-10-21,2025-10-21 16:03:10,Sales Assistant 2,,
TXN_045,CUST_9038,Customer 742,PROD_004,Nike Air Max,Clothing,5,149.99,749.95,0.0,749.95,Mobile Payment,2025-11-07,2025-11-07 16:03:10,Sales Assistant 3,,
TXN_046,CUST_6954,Customer 542,PROD_006,Levi's Jeans,Clothing,1,79.99,79.99,0.0,79.99,Debit Card,2025-10-26,2025-10-26 16:03:10,Sales Assistant 2,,
TXN_047,CUST_5547,Customer 599,PROD_007,Coffee Maker,Home,3,89.99,269.97,0.0,269.97,Cash,2025-10-15,2025-10-15 16:03:10,Sales Assistant 2,,
TXN_048,CUST_3599,Customer 336,PROD_004,Nike Air Max,Clothing,1,149.99,149.99,0.0,149.99,Cash,2025-10-16,2025-10-16 16:03:10,Sales Assistant 2,,
TXN_049,CUST_9232,Customer 133,PROD_006,Levi's Jeans,Clothing,4,79.99,319.96,0.0,319.96,Cash,2025-10-18,2025-10-18 16:03:10,Sales Assistant 2,,
TXN_050,CUST_5263,Customer 709,PROD_004,Nike Air Max,Clothing,3,149.99,449.97,0.0,449.97,Mobile Payment,2025-10-14,2025-10-14 16:03:10,Sales Assistant 1,,
TXN_051,CUST_3866,Customer 792,PROD_009,Yoga Mat,Sports,3,29.99,89.97,4.4985,85.47149999999999,Mobile Payment,2025-11-02,2025-11-02 16:03:10,Sales Assistant 1,,
TXN_052,CUST_8479,Customer 388,PROD_010,Water Bottle,Sports,5,19.99,99.95,0.0,99.95,Credit Card,2025-10-19,2025-10-19 16:03:10,Sales Assistant 4,,
TXN_053,CUST_1153,Customer 549,PROD_009,Yoga Mat,Sports,1,29.99,29.99,0.0,29.99,Cash,2025-10-21,2025-10-21 16:03:10,Sales Assistant 4,,
TXN_054,CUST_2252,Customer 207,PROD_006,Levi's Jeans,Clothing,2,79.99,159.98,23.997,135.983,Mobile Payment,2025-10-23,2025-10-23 16:03:10,Sales Assistant 2,,
TXN_055,CUST_8982,Customer 111,PROD_006,Levi's Jeans,Clothing,1,79.99,79.99,11.998499999999998,67.9915,Credit Card,2025-11-07,2025-11-07 16:03:10,Sales Assistant 3,,
TXN_056,CUST_8686,Customer 236,PROD_004,Nike Air Max,Clothing,5,149.99,749.95,74.995,674.955,Debit Card,2025-10-30,2025-10-30 16:03:10,Sales Assistant 2,,
TXN_057,CUST_4810,Customer 990,PROD_006,Levi's Jeans,Clothing,2,79.99,159.98,0.0,159.98,Debit Card,2025-10-30,2025-10-30 16:03:10,Sales Assistant 1,,
TXN_058,CUST_20251108160541,,PROD_010,Water Bottle,Sports,1,19.99,19.99,1.999,17.991,Cash,2025-11-08,2025-11-08 16:05:41,Sales Assistant,,
TXN_059,CUST_20251110080848,,PROD_0011,chepies,Food,1,0.5,0.5,0.0,0.5,Cash,2025-11-10,2025-11-10 08:08:48,Sales Assistant,0.5,0.0
